Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542495600.0 124.4 183 NA NA NA NA NA NA NA 253 NA NA NA NA NA NA NA 1347 NA NA NA NA NA NA NA 2572 NA NA NA NA NA NA NA
1542495600.0 124.5 186 NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA 1367 NA NA NA NA NA NA NA 2301 NA NA NA NA NA NA NA
1542495600.0 124.6 169 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 1261 NA NA NA NA NA NA NA 1982 NA NA NA NA NA NA NA
1542495600.0 125.0 61 80 220 NA NA NA NA NA 115 136 295 NA NA NA NA NA 3114 418 2247 NA NA NA NA NA 3503 550 3135 NA NA NA NA NA
1542495600.0 126.0 53 68 206 NA NA NA NA NA 103 136 293 NA NA NA NA NA 1236 391 2358 NA NA NA NA NA 1411 516 4335 NA NA NA NA NA
1542495600.0 127.0 50 74 217 NA NA NA NA NA 102 136 292 NA NA NA NA NA 1108 356 2159 NA NA NA NA NA 1304 476 3057 NA NA NA NA NA
1542495600.0 128.0 49 69 215 NA NA NA NA NA 94 136 291 NA NA NA NA NA 430 391 2187 NA NA NA NA NA 620 508 3458 NA NA NA NA NA
1542495600.0 129.0 50 78 214 NA NA NA NA NA 94 136 291 NA NA NA NA NA 446 359 2321 NA NA NA NA NA 589 495 3543 NA NA NA NA NA
1542495600.0 13.0 NA 83 222 0 NA NA NA NA NA 144 301 0 NA NA NA NA NA 475 2210 667 NA NA NA NA NA 774 2726 795 NA NA NA NA
1542495600.0 130.0 50 78 216 NA NA NA NA NA 102 136 292 NA NA NA NA NA 542 422 2257 NA NA NA NA NA 726 704 3505 NA NA NA NA NA
1542495600.0 1301.0 61 92 175 NA NA NA NA NA 106 145 251 NA NA NA NA NA 772 483 1275 NA NA NA NA NA 1123 698 1645 NA NA NA NA NA
1542495600.0 1302.0 62 93 172 NA NA NA NA NA 110 145 255 NA NA NA NA NA 3620 518 1420 NA NA NA NA NA 4243 706 1728 NA NA NA NA NA
1542495600.0 1303.0 62 90 174 NA NA NA NA NA 111 145 256 NA NA NA NA NA 5999 398 1561 NA NA NA NA NA 6650 607 1873 NA NA NA NA NA
1542495600.0 1306.0 NA 90 253 0 NA NA NA NA NA 153 331 0 NA NA NA NA NA 455 1643 724 NA NA NA NA NA 682 2042 921 NA NA NA NA
1542495600.0 1307.0 NA 91 127 45 0 NA NA NA NA 151 192 80 0 NA NA NA NA 443 596 169 278 NA NA NA NA 734 877 303 466 NA NA NA
1542495600.0 1308.0 NA 81 126 45 0 NA NA NA NA 151 191 79 0 NA NA NA NA 456 538 164 276 NA NA NA NA 669 830 320 459 NA NA NA
1542495600.0 1309.0 NA 92 259 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 541 1931 756 NA NA NA NA NA 789 2444 965 NA NA NA NA
1542495600.0 131.0 52 79 216 NA NA NA NA NA 104 136 293 NA NA NA NA NA 1200 622 2386 NA NA NA NA NA 1419 987 4504 NA NA NA NA NA
1542495600.0 1310.0 NA 92 256 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 498 1849 749 NA NA NA NA NA 730 2576 983 NA NA NA NA
1542495600.0 1311.0 NA 86 231 0 64 NA NA NA NA 153 309 0 99 NA NA NA NA 446 1243 741 268 NA NA NA NA 637 1594 859 461 NA NA NA
1542495600.0 1312.0 NA 100 258 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 520 1880 753 NA NA NA NA NA 766 2304 1003 NA NA NA NA
1542495600.0 1313.0 NA 99 265 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 453 2162 744 NA NA NA NA NA 645 2551 974 NA NA NA NA
1542495600.0 1314.0 NA 100 265 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 501 1800 747 NA NA NA NA NA 736 2144 975 NA NA NA NA
1542495600.0 1315.0 NA 85 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 464 1705 729 NA NA NA NA NA 689 2050 956 NA NA NA NA
1542495600.0 1316.0 NA 94 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 456 1719 727 NA NA NA NA NA 745 2101 942 NA NA NA NA
1542495600.0 1317.0 NA 86 253 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 439 1733 722 NA NA NA NA NA 695 2097 906 NA NA NA NA
1542495600.0 1318.0 NA 84 252 0 NA NA NA NA NA 153 332 0 NA NA NA NA NA 436 1698 727 NA NA NA NA NA 683 2097 884 NA NA NA NA
1542495600.0 1319.0 NA 91 253 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 453 1705 716 NA NA NA NA NA 719 2068 904 NA NA NA NA
1542495600.0 132.0 64 76 230 NA NA NA NA NA 113 136 301 NA NA NA NA NA 3507 403 2404 NA NA NA NA NA 3845 512 3300 NA NA NA NA NA
1542495600.0 1320.0 NA 94 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 483 1720 728 NA NA NA NA NA 748 2087 921 NA NA NA NA
1542495600.0 1321.0 NA 96 255 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 483 1741 733 NA NA NA NA NA 745 2201 929 NA NA NA NA
1542495600.0 1322.0 NA 94 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 469 1726 724 NA NA NA NA NA 711 2038 958 NA NA NA NA
1542495600.0 1323.0 NA 91 248 0 NA NA NA NA NA 153 329 0 NA NA NA NA NA 425 1671 723 NA NA NA NA NA 648 1974 988 NA NA NA NA
1542495600.0 1324.0 NA 93 259 0 NA NA NA NA NA 153 338 0 NA NA NA NA NA 522 1864 759 NA NA NA NA NA 745 2421 1052 NA NA NA NA
1542495600.0 1325.0 NA 97 263 0 63 NA NA NA NA 153 341 0 106 NA NA NA NA 561 1919 792 301 NA NA NA NA 761 2352 1108 506 NA NA NA
1542495600.0 1325.1 NA 104 133 0 NA NA NA NA NA 153 183 0 NA NA NA NA NA 532 760 332 NA NA NA NA NA 763 1029 430 NA NA NA NA
1542495600.0 1325.2 NA 94 258 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 538 1906 743 NA NA NA NA NA 787 2366 954 NA NA NA NA
1542495600.0 1325.3 NA 97 137 0 NA NA NA NA NA 153 179 0 NA NA NA NA NA 570 773 319 NA NA NA NA NA 828 1028 410 NA NA NA NA
1542495600.0 1325.4 NA 94 267 0 NA NA NA NA NA 153 341 0 NA NA NA NA NA 533 2072 754 NA NA NA NA NA 741 2760 954 NA NA NA NA
1542495600.0 1325.5 NA 140 0 NA NA NA NA NA NA 207 0 NA NA NA NA NA NA 2766 167 NA NA NA NA NA NA 3145 355 NA NA NA NA NA
1542495600.0 1325.51 NA 131 0 NA NA NA NA NA NA 193 0 NA NA NA NA NA NA 1556 169 NA NA NA NA NA NA 1869 310 NA NA NA NA NA
1542495600.0 1325.6 NA 105 NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA 2147 NA NA NA NA NA NA NA 3414 NA NA NA NA NA NA
1542495600.0 1325.7 NA 108 0 NA NA NA NA NA NA 170 0 NA NA NA NA NA NA 2270 278 NA NA NA NA NA NA 4505 795 NA NA NA NA NA
1542495600.0 1325.8 NA 104 0 NA NA NA NA NA NA 170 0 NA NA NA NA NA NA 2175 156 NA NA NA NA NA NA 2521 326 NA NA NA NA NA
1542495600.0 1325.9 NA 106 0 NA NA NA NA NA NA 162 0 NA NA NA NA NA NA 1823 158 NA NA NA NA NA NA 2024 305 NA NA NA NA NA
1542495600.0 1326.0 NA 99 257 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 586 1773 744 NA NA NA NA NA 1009 2161 1007 NA NA NA NA
1542495600.0 1327.0 NA 100 257 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 474 1783 747 NA NA NA NA NA 697 2173 993 NA NA NA NA
1542495600.0 1328.0 NA 100 255 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 508 1942 834 NA NA NA NA NA 733 2911 1229 NA NA NA NA
1542495600.0 1329.0 NA 90 256 0 NA NA NA NA NA 153 335 0 NA NA NA NA NA 471 1729 747 NA NA NA NA NA 721 2118 973 NA NA NA NA
1542495600.0 1329.1 NA 122 0 NA NA NA NA NA NA 184 0 NA NA NA NA NA NA 1977 156 NA NA NA NA NA NA 2262 322 NA NA NA NA NA
1542495600.0 133.0 65 74 225 NA NA NA NA NA 118 136 301 NA NA NA NA NA 7021 486 2727 NA NA NA NA NA 8502 632 4480 NA NA NA NA NA
1542495600.0 1330.0 NA 96 259 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 490 1789 749 NA NA NA NA NA 748 2256 961 NA NA NA NA
1542495600.0 1331.0 NA 91 256 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 532 1783 753 NA NA NA NA NA 945 2273 974 NA NA NA NA
1542495600.0 1332.0 NA 103 260 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 518 1830 735 NA NA NA NA NA 725 2349 943 NA NA NA NA
1542495600.0 1333.0 NA 91 257 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 486 1769 741 NA NA NA NA NA 790 2102 956 NA NA NA NA
1542495600.0 1334.0 NA 92 257 0 NA NA NA NA NA 153 338 0 NA NA NA NA NA 519 1847 755 NA NA NA NA NA 717 2424 977 NA NA NA NA
1542495600.0 1335.0 NA 96 257 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 504 1800 737 NA NA NA NA NA 725 2240 970 NA NA NA NA
1542495600.0 1336.0 NA 90 265 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 588 2367 834 NA NA NA NA NA 878 2890 1240 NA NA NA NA
1542495600.0 1337.0 NA 98 272 0 NA NA NA NA NA 153 343 0 NA NA NA NA NA 651 2268 801 NA NA NA NA NA 862 2666 1218 NA NA NA NA
1542495600.0 1338.0 NA 94 259 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 527 1901 760 NA NA NA NA NA 731 2452 1005 NA NA NA NA
1542495600.0 1339.0 NA 88 263 0 NA NA NA NA NA 153 342 0 NA NA NA NA NA 694 2087 760 NA NA NA NA NA 1385 2461 993 NA NA NA NA
1542495600.0 134.0 NA 236 37 0 NA NA NA NA NA 311 74 0 NA NA NA NA NA 4509 231 140 NA NA NA NA NA 5368 600 360 NA NA NA NA
1542495600.0 134.701 NA 33 257 0 NA NA NA NA NA 80 331 0 NA NA NA NA NA 284 5726 1228 NA NA NA NA NA 547 6171 1555 NA NA NA NA
1542495600.0 134.702 NA 37 246 0 NA NA NA NA NA 79 325 0 NA NA NA NA NA 292 5763 1196 NA NA NA NA NA 559 6102 1622 NA NA NA NA
1542495600.0 134.703 NA 34 262 0 NA NA NA NA NA 84 335 0 NA NA NA NA NA 232 5793 1206 NA NA NA NA NA 446 6101 1649 NA NA NA NA
1542495600.0 134.704 NA 32 252 0 NA NA NA NA NA 78 327 0 NA NA NA NA NA 326 6401 1097 NA NA NA NA NA 683 6711 1399 NA NA NA NA
1542495600.0 134.705 NA 31 256 0 NA NA NA NA NA 82 334 0 NA NA NA NA NA 295 6006 1170 NA NA NA NA NA 489 6383 1530 NA NA NA NA
1542495600.0 134.706 NA 37 255 0 NA NA NA NA NA 82 333 0 NA NA NA NA NA 299 6205 1203 NA NA NA NA NA 529 6467 1711 NA NA NA NA
1542495600.0 134.707 NA 32 248 0 NA NA NA NA NA 81 327 0 NA NA NA NA NA 252 5724 1167 NA NA NA NA NA 420 6094 1594 NA NA NA NA
1542495600.0 134.708 NA 30 253 0 NA NA NA NA NA 80 325 0 NA NA NA NA NA 262 6205 1194 NA NA NA NA NA 394 6578 1509 NA NA NA NA
1542495600.0 134.709 NA 40 401 0 NA NA NA NA NA 82 509 0 NA NA NA NA NA 289 5768 1185 NA NA NA NA NA 524 6185 1575 NA NA NA NA
1542495600.0 134.71 NA 27 247 0 NA NA NA NA NA 74 323 0 NA NA NA NA NA 250 4653 1179 NA NA NA NA NA 426 5120 1587 NA NA NA NA
1542495600.0 134.801 NA 35 251 0 NA NA NA NA NA 81 327 0 NA NA NA NA NA 270 5375 1102 NA NA NA NA NA 444 5787 1437 NA NA NA NA
1542495600.0 134.802 NA 37 252 0 NA NA NA NA NA 81 329 0 NA NA NA NA NA 311 7398 1083 NA NA NA NA NA 641 7811 1372 NA NA NA NA
1542495600.0 134.803 NA 39 251 0 NA NA NA NA NA 85 329 0 NA NA NA NA NA 307 6471 1012 NA NA NA NA NA 501 6699 1266 NA NA NA NA
