Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542146400.0 134.911 NA 41 222 0 NA NA NA NA NA 85 296 0 NA NA NA NA NA 164 4619 403 NA NA NA NA NA 189 5240 422 NA NA NA NA
1542146400.0 134.912 NA 32 226 0 NA NA NA NA NA 83 292 0 NA NA NA NA NA 158 3177 398 NA NA NA NA NA 175 3347 415 NA NA NA NA
1542146400.0 134.99601 NA 40 218 0 NA NA NA NA NA 85 311 0 NA NA NA NA NA 194 6651 412 NA NA NA NA NA 598 7997 450 NA NA NA NA
1542146400.0 134.99602 NA 41 226 0 NA NA NA NA NA 86 299 0 NA NA NA NA NA 159 4100 444 NA NA NA NA NA 296 4704 486 NA NA NA NA
1542146400.0 134.99603 NA 41 230 0 NA NA NA NA NA 86 311 0 NA NA NA NA NA 187 5717 410 NA NA NA NA NA 231 6175 435 NA NA NA NA
1542146400.0 134.99901 NA 34 235 0 NA NA NA NA NA 86 297 0 NA NA NA NA NA 159 4104 410 NA NA NA NA NA 207 4425 428 NA NA NA NA
1542146400.0 1340.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1341.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1343.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1344.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1345.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1347.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1348.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 135.1 218 0 110 NA NA NA NA NA 303 0 158 NA NA NA NA NA 932 321 503 NA NA NA NA NA 1340 573 607 NA NA NA NA NA
1542146400.0 135.11 222 0 112 NA NA NA NA NA 307 0 160 NA NA NA NA NA 1018 263 479 NA NA NA NA NA 1327 308 544 NA NA NA NA NA
1542146400.0 135.12 207 0 112 NA NA NA NA NA 298 0 158 NA NA NA NA NA 844 257 444 NA NA NA NA NA 1283 272 531 NA NA NA NA NA
1542146400.0 135.2 196 0 108 NA NA NA NA NA 279 0 154 NA NA NA NA NA 536 220 401 NA NA NA NA NA 962 230 489 NA NA NA NA NA
1542146400.0 135.3 195 0 109 NA NA NA NA NA 279 0 157 NA NA NA NA NA 533 236 439 NA NA NA NA NA 1012 310 526 NA NA NA NA NA
1542146400.0 135.4 217 0 109 NA NA NA NA NA 299 0 161 NA NA NA NA NA 729 259 428 NA NA NA NA NA 969 396 567 NA NA NA NA NA
1542146400.0 135.5 212 0 108 NA NA NA NA NA 297 0 154 NA NA NA NA NA 785 305 455 NA NA NA NA NA 1209 565 562 NA NA NA NA NA
1542146400.0 135.6 202 0 110 NA NA NA NA NA 299 0 158 NA NA NA NA NA 748 283 464 NA NA NA NA NA 1199 353 542 NA NA NA NA NA
1542146400.0 135.7 200 0 110 NA NA NA NA NA 299 0 161 NA NA NA NA NA 652 247 453 NA NA NA NA NA 1146 316 536 NA NA NA NA NA
1542146400.0 135.8 82 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 181 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA
1542146400.0 135.9 207 0 110 NA NA NA NA NA 300 0 157 NA NA NA NA NA 653 273 453 NA NA NA NA NA 1025 345 535 NA NA NA NA NA
